Code;datum;maand;mndnr
IN007301;01-02-2021;02-2021;02
IN007302;01-02-2021;02-2021;02
IN007303;01-02-2021;02-2021;02
IN007304;01-02-2021;02-2021;02
IN007305;01-02-2021;02-2021;02
IN007306;01-02-2021;02-2021;02
IN007307;01-02-2021;02-2021;02
IN007308;01-02-2021;02-2021;02
IN007309;01-02-2021;02-2021;02
IN007310;01-02-2021;02-2021;02
IN007311;01-02-2021;02-2021;02
IN007312;01-02-2021;02-2021;02
IN007313;01-02-2021;02-2021;02
IN007314;01-02-2021;02-2021;02
IN007315;01-02-2021;02-2021;02
IN007316;01-02-2021;02-2021;02
IN007317;01-02-2021;02-2021;02
IN007318;01-02-2021;02-2021;02
IN007319;01-02-2021;02-2021;02
IN007320;01-02-2021;02-2021;02
IN007321;01-02-2021;02-2021;02
IN007322;01-02-2021;02-2021;02
IN007323;01-02-2021;02-2021;02
IN007324;01-02-2021;02-2021;02
IN007325;01-02-2021;02-2021;02
IN007326;01-02-2021;02-2021;02
IN007327;01-02-2021;02-2021;02
IN007328;01-02-2021;02-2021;02
IN007329;01-02-2021;02-2021;02
IN007330;01-02-2021;02-2021;02
IN007331;01-02-2021;02-2021;02
IN007332;01-02-2021;02-2021;02
IN007333;01-02-2021;02-2021;02
IN007334;01-02-2021;02-2021;02
IN007335;01-02-2021;02-2021;02
IN007336;01-02-2021;02-2021;02
IN007337;01-02-2021;02-2021;02
IN007338;01-02-2021;02-2021;02
IN007339;01-02-2021;02-2021;02
IN007340;01-02-2021;02-2021;02
IN007341;01-02-2021;02-2021;02
IN007342;01-02-2021;02-2021;02
IN007343;01-02-2021;02-2021;02
IN007344;01-02-2021;02-2021;02
IN007345;01-02-2021;02-2021;02
IN007346;01-02-2021;02-2021;02
IN007347;01-02-2021;02-2021;02
IN007348;01-02-2021;02-2021;02
IN007349;01-02-2021;02-2021;02
IN007350;01-02-2021;02-2021;02
IN007351;01-02-2021;02-2021;02
IN007352;01-02-2021;02-2021;02
IN007353;01-02-2021;02-2021;02
IN007354;01-02-2021;02-2021;02
IN007355;01-02-2021;02-2021;02
IN007356;01-02-2021;02-2021;02
IN007357;01-02-2021;02-2021;02
IN007358;01-02-2021;02-2021;02
IN007359;01-02-2021;02-2021;02
IN007360;01-02-2021;02-2021;02
IN007361;01-02-2021;02-2021;02
IN007362;01-02-2021;02-2021;02
IN007363;01-02-2021;02-2021;02
IN007364;01-02-2021;02-2021;02
IN007365;01-02-2021;02-2021;02
IN007366;01-02-2021;02-2021;02
IN007367;01-02-2021;02-2021;02
IN007368;01-02-2021;02-2021;02
IN007369;01-02-2021;02-2021;02
IN007370;01-02-2021;02-2021;02
IN007371;01-02-2021;02-2021;02
IN007372;01-02-2021;02-2021;02
IN007373;01-02-2021;02-2021;02
IN007374;01-02-2021;02-2021;02
IN007375;01-02-2021;02-2021;02
IN007376;01-02-2021;02-2021;02
IN007377;01-02-2021;02-2021;02
IN007378;01-02-2021;02-2021;02
IN007379;01-02-2021;02-2021;02
IN007380;01-02-2021;02-2021;02
IN007381;02-02-2021;02-2021;02
IN007382;02-02-2021;02-2021;02
IN007383;02-02-2021;02-2021;02
IN007384;02-02-2021;02-2021;02
IN007385;02-02-2021;02-2021;02
IN007386;02-02-2021;02-2021;02
IN007387;02-02-2021;02-2021;02
IN007388;02-02-2021;02-2021;02
IN007389;02-02-2021;02-2021;02
IN007390;02-02-2021;02-2021;02
IN007391;02-02-2021;02-2021;02
IN007392;02-02-2021;02-2021;02
IN007393;02-02-2021;02-2021;02
IN007394;02-02-2021;02-2021;02
IN007395;02-02-2021;02-2021;02
IN007396;02-02-2021;02-2021;02
IN007397;02-02-2021;02-2021;02
IN007398;02-02-2021;02-2021;02
IN007399;02-02-2021;02-2021;02
IN007400;02-02-2021;02-2021;02
IN007401;02-02-2021;02-2021;02
IN007402;02-02-2021;02-2021;02
IN007403;02-02-2021;02-2021;02
IN007404;02-02-2021;02-2021;02
IN007405;02-02-2021;02-2021;02
IN007406;02-02-2021;02-2021;02
IN007407;02-02-2021;02-2021;02
IN007408;02-02-2021;02-2021;02
IN007409;02-02-2021;02-2021;02
IN007410;02-02-2021;02-2021;02
IN007411;02-02-2021;02-2021;02
IN007412;02-02-2021;02-2021;02
IN007413;02-02-2021;02-2021;02
IN007414;02-02-2021;02-2021;02
IN007415;02-02-2021;02-2021;02
IN007416;02-02-2021;02-2021;02
IN007417;02-02-2021;02-2021;02
IN007418;02-02-2021;02-2021;02
IN007419;02-02-2021;02-2021;02
IN007420;02-02-2021;02-2021;02
IN007421;02-02-2021;02-2021;02
IN007422;02-02-2021;02-2021;02
IN007423;02-02-2021;02-2021;02
IN007424;02-02-2021;02-2021;02
IN007425;02-02-2021;02-2021;02
IN007426;02-02-2021;02-2021;02
IN007427;02-02-2021;02-2021;02
IN007428;02-02-2021;02-2021;02
IN007429;02-02-2021;02-2021;02
IN007430;02-02-2021;02-2021;02
IN007431;02-02-2021;02-2021;02
IN007432;02-02-2021;02-2021;02
IN007433;02-02-2021;02-2021;02
IN007434;02-02-2021;02-2021;02
IN007435;02-02-2021;02-2021;02
IN007436;02-02-2021;02-2021;02
IN007437;02-02-2021;02-2021;02
IN007438;02-02-2021;02-2021;02
IN007439;02-02-2021;02-2021;02
IN007440;02-02-2021;02-2021;02
IN007441;02-02-2021;02-2021;02
IN007442;02-02-2021;02-2021;02
IN007443;02-02-2021;02-2021;02
IN007444;02-02-2021;02-2021;02
IN007445;02-02-2021;02-2021;02
IN007446;02-02-2021;02-2021;02
IN007447;02-02-2021;02-2021;02
IN007448;02-02-2021;02-2021;02
IN007449;02-02-2021;02-2021;02
IN007450;02-02-2021;02-2021;02
IN007451;02-02-2021;02-2021;02
IN007452;02-02-2021;02-2021;02
IN007453;02-02-2021;02-2021;02
IN007454;02-02-2021;02-2021;02
IN007455;02-02-2021;02-2021;02
IN007456;02-02-2021;02-2021;02
IN007457;02-02-2021;02-2021;02
IN007458;02-02-2021;02-2021;02
IN007459;02-02-2021;02-2021;02
IN007460;02-02-2021;02-2021;02
IN007461;03-02-2021;02-2021;02
IN007462;03-02-2021;02-2021;02
IN007463;03-02-2021;02-2021;02
IN007464;03-02-2021;02-2021;02
IN007465;03-02-2021;02-2021;02
IN007466;03-02-2021;02-2021;02
IN007467;03-02-2021;02-2021;02
IN007468;03-02-2021;02-2021;02
IN007469;03-02-2021;02-2021;02
IN007470;03-02-2021;02-2021;02
IN007471;03-02-2021;02-2021;02
IN007472;03-02-2021;02-2021;02
IN007473;03-02-2021;02-2021;02
IN007474;03-02-2021;02-2021;02
IN007475;03-02-2021;02-2021;02
IN007476;03-02-2021;02-2021;02
IN007477;03-02-2021;02-2021;02
IN007478;03-02-2021;02-2021;02
IN007479;03-02-2021;02-2021;02
IN007480;03-02-2021;02-2021;02
IN007481;03-02-2021;02-2021;02
IN007482;03-02-2021;02-2021;02
IN007483;03-02-2021;02-2021;02
IN007484;03-02-2021;02-2021;02
IN007485;03-02-2021;02-2021;02
IN007486;03-02-2021;02-2021;02
IN007487;03-02-2021;02-2021;02
IN007488;03-02-2021;02-2021;02
IN007489;03-02-2021;02-2021;02
IN007490;03-02-2021;02-2021;02
IN007491;03-02-2021;02-2021;02
IN007492;03-02-2021;02-2021;02
IN007493;03-02-2021;02-2021;02
IN007494;03-02-2021;02-2021;02
IN007495;03-02-2021;02-2021;02
IN007496;03-02-2021;02-2021;02
IN007497;03-02-2021;02-2021;02
IN007498;03-02-2021;02-2021;02
IN007499;03-02-2021;02-2021;02
IN007500;03-02-2021;02-2021;02
IN007501;03-02-2021;02-2021;02
IN007502;03-02-2021;02-2021;02
IN007503;03-02-2021;02-2021;02
IN007504;03-02-2021;02-2021;02
IN007505;03-02-2021;02-2021;02
IN007506;03-02-2021;02-2021;02
IN007507;03-02-2021;02-2021;02
IN007508;03-02-2021;02-2021;02
IN007509;03-02-2021;02-2021;02
IN007510;03-02-2021;02-2021;02
IN007511;03-02-2021;02-2021;02
IN007512;03-02-2021;02-2021;02
IN007513;03-02-2021;02-2021;02
IN007514;03-02-2021;02-2021;02
IN007515;03-02-2021;02-2021;02
IN007516;03-02-2021;02-2021;02
IN007517;03-02-2021;02-2021;02
IN007518;03-02-2021;02-2021;02
IN007519;03-02-2021;02-2021;02
IN007520;03-02-2021;02-2021;02
IN007521;03-02-2021;02-2021;02
IN007522;03-02-2021;02-2021;02
IN007523;03-02-2021;02-2021;02
IN007524;03-02-2021;02-2021;02
IN007525;03-02-2021;02-2021;02
IN007526;03-02-2021;02-2021;02
IN007527;03-02-2021;02-2021;02
IN007528;03-02-2021;02-2021;02
IN007529;03-02-2021;02-2021;02
IN007530;03-02-2021;02-2021;02
IN007531;03-02-2021;02-2021;02
IN007532;03-02-2021;02-2021;02
IN007533;03-02-2021;02-2021;02
IN007534;03-02-2021;02-2021;02
IN007535;03-02-2021;02-2021;02
IN007536;03-02-2021;02-2021;02
IN007537;03-02-2021;02-2021;02
IN007538;03-02-2021;02-2021;02
IN007539;03-02-2021;02-2021;02
IN007540;03-02-2021;02-2021;02
IN007541;04-02-2021;02-2021;02
IN007542;04-02-2021;02-2021;02
IN007543;04-02-2021;02-2021;02
IN007544;04-02-2021;02-2021;02
IN007545;04-02-2021;02-2021;02
IN007546;04-02-2021;02-2021;02
IN007547;04-02-2021;02-2021;02
IN007548;04-02-2021;02-2021;02
IN007549;04-02-2021;02-2021;02
IN007550;04-02-2021;02-2021;02
IN007551;04-02-2021;02-2021;02
IN007552;04-02-2021;02-2021;02
IN007553;04-02-2021;02-2021;02
IN007554;04-02-2021;02-2021;02
IN007555;04-02-2021;02-2021;02
IN007556;04-02-2021;02-2021;02
IN007557;04-02-2021;02-2021;02
IN007558;04-02-2021;02-2021;02
IN007559;04-02-2021;02-2021;02
IN007560;04-02-2021;02-2021;02
IN007561;04-02-2021;02-2021;02
IN007562;04-02-2021;02-2021;02
IN007563;04-02-2021;02-2021;02
IN007564;04-02-2021;02-2021;02
IN007565;04-02-2021;02-2021;02
IN007566;04-02-2021;02-2021;02
