,Index,Colorcode,Colorname,Finish,num,aantal,omschrijving,pdf,code,beeld,v,vv
0,0,A04.0.0,Cream White,Satin,400493,722,UNI COLOURS,2018_meteon.pdf,A0400-400493,202112782_layout_outline_1.pdf,1,1
1,1,A04.1.7,Gold Yellow,Satin,400501,722,UNI COLOURS,2018_meteon.pdf,A0417-400501,202112782_layout_outline_2.pdf,2,2
2,1,A04.1.7,Gold Yellow,Satin,400501,722,UNI COLOURS,2018_meteon.pdf,A0417-400501,202112782_layout_outline_2.pdf,2,2
3,2,A08.2.3,Salmon,Satin,400538,722,UNI COLOURS,2018_meteon.pdf,A0823-400538,202112782_layout_outline_3.pdf,1,1
4,3,A10.4.5,Sienna Brown,Satin,400558,722,UNI COLOURS,2018_meteon.pdf,A1045-400558,202112782_layout_outline_4.pdf,1,1
5,4,A11.4.4,English Red,Satin,400563,722,UNI COLOURS,2018_meteon.pdf,A1144-400563,202112782_layout_outline_5.pdf,2,2
6,4,A11.4.4,English Red,Satin,400563,722,UNI COLOURS,2018_meteon.pdf,A1144-400563,202112782_layout_outline_5.pdf,2,2
7,5,A21.5.4,Cobalt Blue,Satin,400596,642,UNI COLOURS,2018_meteon.pdf,A2154-400596,202112782_layout_outline_6.pdf,"1,7",2
8,5,A21.5.4,Cobalt Blue,Satin,400596,642,UNI COLOURS,2018_meteon.pdf,A2154-400596,202112782_layout_outline_6.pdf,"1,7",2
9,6,A25.8.1,Anthracite Grey,Rock,400624,722,UNI COLOURS,2018_meteon.pdf,A2581-400624,202112782_layout_outline_7.pdf,"1,8",2
10,6,A25.8.1,Anthracite Grey,Rock,400624,722,UNI COLOURS,2018_meteon.pdf,A2581-400624,202112782_layout_outline_7.pdf,"1,8",2
11,7,A26.5.4,Pacific,Satin,400627,722,UNI COLOURS,2018_meteon.pdf,A2654-400627,202112782_layout_outline_8.pdf,"1,9",2
12,7,A26.5.4,Pacific,Satin,400627,722,UNI COLOURS,2018_meteon.pdf,A2654-400627,202112782_layout_outline_8.pdf,"1,9",2
13,8,A37.2.3,Spring Green,Satin,400649,722,UNI COLOURS,2018_meteon.pdf,A3723-400649,202112782_layout_outline_9.pdf,2,2
14,8,A37.2.3,Spring Green,Satin,400649,722,UNI COLOURS,2018_meteon.pdf,A3723-400649,202112782_layout_outline_9.pdf,2,2
15,9,A90.0.0,Black,Rock,400652,722,UNI COLOURS,2018_meteon.pdf,A9000-400652,202112782_layout_outline_10.pdf,"2,1",3
16,9,A90.0.0,Black,Rock,400652,722,UNI COLOURS,2018_meteon.pdf,A9000-400652,202112782_layout_outline_10.pdf,"2,1",3
17,9,A90.0.0,Black,Rock,400652,722,UNI COLOURS,2018_meteon.pdf,A9000-400652,202112782_layout_outline_10.pdf,"2,1",3
18,10,A04.1.7,Gold Yellow,Rock,404478,722,UNI COLOURS,2018_meteon.pdf,A0417-404478,202112782_layout_outline_11.pdf,"2,2",3
19,10,A04.1.7,Gold Yellow,Rock,404478,722,UNI COLOURS,2018_meteon.pdf,A0417-404478,202112782_layout_outline_11.pdf,"2,2",3
20,10,A04.1.7,Gold Yellow,Rock,404478,722,UNI COLOURS,2018_meteon.pdf,A0417-404478,202112782_layout_outline_11.pdf,"2,2",3
21,11,A22.4.4,Brilliant Blue,Rock,412148,722,UNI COLOURS,2018_meteon.pdf,A2244-412148,202112782_layout_outline_12.pdf,"2,3",3
22,11,A22.4.4,Brilliant Blue,Rock,412148,722,UNI COLOURS,2018_meteon.pdf,A2244-412148,202112782_layout_outline_12.pdf,"2,3",3
23,11,A22.4.4,Brilliant Blue,Rock,412148,722,UNI COLOURS,2018_meteon.pdf,A2244-412148,202112782_layout_outline_12.pdf,"2,3",3
24,12,A12.3.7,Carmine Red,Satin,431073,128,UNI COLOURS,2018_meteon.pdf,A1237-431073,202112782_layout_outline_13.pdf,"2,4",3
25,12,A12.3.7,Carmine Red,Satin,431073,128,UNI COLOURS,2018_meteon.pdf,A1237-431073,202112782_layout_outline_13.pdf,"2,4",3
26,12,A12.3.7,Carmine Red,Satin,431073,128,UNI COLOURS,2018_meteon.pdf,A1237-431073,202112782_layout_outline_13.pdf,"2,4",3
27,13,A21.7.0,Steel Grey,Satin,431074,256,UNI COLOURS,2018_meteon.pdf,A2170-431074,202112782_layout_outline_14.pdf,"2,5",3
28,13,A21.7.0,Steel Grey,Satin,431074,256,UNI COLOURS,2018_meteon.pdf,A2170-431074,202112782_layout_outline_14.pdf,"2,5",3
29,13,A21.7.0,Steel Grey,Satin,431074,256,UNI COLOURS,2018_meteon.pdf,A2170-431074,202112782_layout_outline_14.pdf,"2,5",3
30,14,A10.4.5,Sienna Brown,Satin,431078,128,UNI COLOURS,2018_meteon.pdf,A1045-431078,202112782_layout_outline_15.pdf,"2,6",3
31,14,A10.4.5,Sienna Brown,Satin,431078,128,UNI COLOURS,2018_meteon.pdf,A1045-431078,202112782_layout_outline_15.pdf,"2,6",3
32,14,A10.4.5,Sienna Brown,Satin,431078,128,UNI COLOURS,2018_meteon.pdf,A1045-431078,202112782_layout_outline_15.pdf,"2,6",3
33,15,A08.8.1,Dark Brown,Satin,431102,128,UNI COLOURS,2018_meteon.pdf,A0881-431102,202112782_layout_outline_16.pdf,"2,7",3
