Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Pokon (diap);Tegen Onkruid Concentraat 225ml;2135;7079028100;8,71197E+12;6;15,95;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_16.pdf
2;Pokon (diap);Tegen Onkruid Concentraat 225ml;2135;7079028100;8,71197E+12;6;15,95;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_17.pdf
3;Pokon (diap);Tegen Onkruid Concentraat 450ml;2136;7079029100;8,71197E+12;6;27,95;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_18.pdf
4;Pokon (diap);Tegen Onkruid Concentraat 450ml;2136;7079029100;8,71197E+12;6;27,95;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_19.pdf
5;Pokon (diap);Tegen Onkruid Concentraat 900ml;2137;7079030100;8,71197E+12;8;34,95;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_20.pdf
6;Pokon (diap);Tegen Onkruid Concentraat 900ml;2137;7079030100;8,71197E+12;8;34,95;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_21.pdf
7;Pokon (diap);Tegen Onkruid RTU 1L;2138;7078032100;8,71197E+12;6;14,25;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_22.pdf
8;Pokon (diap);Tegen Onkruid RTU 1L;2138;7078032100;8,71197E+12;6;14,25;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_23.pdf
9;Pokon (diap);Tegen Onkruid RTU 3L ;2139;7078033100;8,71197E+12;4;35,45;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_24.pdf
10;Pokon (diap);Tegen Onkruid RTU 3L ;2139;7078033100;8,71197E+12;4;35,45;Wit (diap);donker groen (PMS: 2266);2021;50;Pokon Tegen Onkruid Display Prijsstickers - V35583;202049048_pokon_25.pdf
