,Naam,aantalst,pdf,rol_id,omschrijving
0,0,0,stans.pdf,a,rol 1 || P-01-002-00 - P-05-071-00||343 etiketten
0,0,0,stans.pdf,a,rol 2 || Q-01-010-00 - Q-07-069-00||479 etiketten
0,0,0,stans.pdf,a,rol 3 || Q-08-002-00 - R-03-041-00||404 etiketten
0,0,0,stans.pdf,a,rol 4 || R-04-002-00 - R-08-041-00||400 etiketten
0,0,0,stans.pdf,a,rol 5 || R-09-002-00 - R-13-041-00||400 etiketten
0,0,0,stans.pdf,a,rol 6 || R-14-002-00 - R-18-041-00||368 etiketten
0,0,0,stans.pdf,a,rol 7 || R-19-002-00 - R-23-039-00||378 etiketten
0,0,0,stans.pdf,a,rol 8 || R-24-002-00 - R-28-063-00||352 etiketten
0,0,0,stans.pdf,a,rol 9 || S-01-002-00 - S-05-055-00||504 etiketten
0,0,0,stans.pdf,a,rol 10 || S-06-002-00 - S-11-112-00||560 etiketten
0,0,0,stans.pdf,a,rol 11 || BEU-OMSTAPEL - PERRON S||158 etiketten
0,0,0,stans.pdf,a,rol 12 || P-01-002-01 - P-01-071-05||360 etiketten
0,0,0,stans.pdf,a,rol 13 || P-02-002-01 - P-02-071-05||360 etiketten
0,0,0,stans.pdf,a,rol 14 || P-03-002-01 - P-03-071-05||360 etiketten
0,0,0,stans.pdf,a,rol 15 || P-04-002-01 - P-04-071-05||360 etiketten
0,0,0,stans.pdf,a,rol 16 || P-05-002-01 - P-05-071-05||280 etiketten
0,0,0,stans.pdf,a,rol 17 || Q-01-010-01 - Q-01-069-05||325 etiketten
0,0,0,stans.pdf,a,rol 18 || Q-02-002-01 - Q-02-069-05||345 etiketten
0,0,0,stans.pdf,a,rol 19 || Q-03-002-01 - Q-03-069-05||345 etiketten
0,0,0,stans.pdf,a,rol 20 || Q-04-002-01 - Q-04-069-05||345 etiketten
0,0,0,stans.pdf,a,rol 21 || Q-05-002-01 - Q-05-069-05||345 etiketten
0,0,0,stans.pdf,a,rol 22 || Q-06-002-01 - Q-06-069-05||345 etiketten
0,0,0,stans.pdf,a,rol 23 || Q-07-002-01 - Q-07-069-05||345 etiketten
0,0,0,stans.pdf,a,rol 24 || Q-08-002-01 - Q-08-039-04||336 etiketten
0,0,0,stans.pdf,a,rol 25 || R-00-002-01 - R-00-039-04||320 etiketten
0,0,0,stans.pdf,a,rol 26 || R-01-002-01 - R-01-039-04||320 etiketten
0,0,0,stans.pdf,a,rol 27 || R-02-002-01 - R-02-039-04||320 etiketten
0,0,0,stans.pdf,a,rol 28 || R-03-002-01 - R-03-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 29 || R-04-002-01 - R-04-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 30 || R-05-002-01 - R-05-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 31 || R-06-002-01 - R-06-039-05||400 etiketten
0,0,0,stans.pdf,a,rol 32 || R-07-002-01 - R-07-039-05||400 etiketten
0,0,0,stans.pdf,a,rol 33 || R-08-002-01 - R-08-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 34 || R-09-002-01 - R-09-043-10||600 etiketten
0,0,0,stans.pdf,a,rol 35 || R-10-002-01 - R-10-039-05||400 etiketten
0,0,0,stans.pdf,a,rol 36 || R-11-002-01 - R-11-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 37 || R-12-002-01 - R-12-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 38 || R-13-002-01 - R-13-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 39 || R-14-002-01 - R-14-043-10||528 etiketten
0,0,0,stans.pdf,a,rol 40 || R-15-002-01 - R-15-040-05||200 etiketten
0,0,0,stans.pdf,a,rol 41 || R-16-002-01 - R-16-039-05||400 etiketten
0,0,0,stans.pdf,a,rol 42 || R-17-002-01 - R-17-039-05||400 etiketten
0,0,0,stans.pdf,a,rol 43 || R-18-002-01 - R-18-043-10||528 etiketten
