,Unnamed: 0,Index,Naam,aantalst,Rol
0,0,0,P-01-002-00,1,1
1,1,1,P-01-004-00,1,1
2,2,2,P-01-006-00,1,1
3,3,3,P-01-008-00,1,1
4,4,4,P-01-010-00,1,1
5,5,5,P-01-012-00,1,1
6,6,6,P-01-014-00,1,1
7,7,7,P-01-016-00,1,1
8,8,8,P-01-018-00,1,1
9,9,9,P-01-020-00,1,1
10,10,10,P-01-022-00,1,1
11,11,11,P-01-024-00,1,1
12,12,12,P-01-026-00,1,1
13,13,13,P-01-028-00,1,1
14,14,14,P-01-030-00,1,1
15,15,15,P-01-032-00,1,1
16,16,16,P-01-034-00,1,1
17,17,17,P-01-036-00,1,1
18,18,18,P-01-038-00,1,1
19,19,19,P-01-040-00,1,1
20,20,20,P-01-042-00,1,1
21,21,21,P-01-044-00,1,1
22,22,22,P-01-046-00,1,1
23,23,23,P-01-048-00,1,1
24,24,24,P-01-050-00,1,1
25,25,25,P-01-052-00,1,1
26,26,26,P-01-054-00,1,1
27,27,27,P-01-056-00,1,1
28,28,28,P-01-058-00,1,1
29,29,29,P-01-060-00,1,1
30,30,30,P-01-062-00,1,1
31,31,31,P-01-064-00,1,1
32,32,32,P-01-066-00,1,1
33,33,33,P-01-068-00,1,1
34,34,34,P-01-070-00,1,1
35,35,35,P-01-072-00,1,1
36,36,36,P-01-003-00,1,1
37,37,37,P-01-005-00,1,1
38,38,38,P-01-007-00,1,1
39,39,39,P-01-009-00,1,1
40,40,40,P-01-011-00,1,1
41,41,41,P-01-013-00,1,1
42,42,42,P-01-015-00,1,1
43,43,43,P-01-017-00,1,1
44,44,44,P-01-019-00,1,1
45,45,45,P-01-021-00,1,1
46,46,46,P-01-023-00,1,1
47,47,47,P-01-025-00,1,1
48,48,48,P-01-027-00,1,1
49,49,49,P-01-029-00,1,1
50,50,50,P-01-031-00,1,1
51,51,51,P-01-033-00,1,1
52,52,52,P-01-035-00,1,1
53,53,53,P-01-037-00,1,1
54,54,54,P-01-039-00,1,1
55,55,55,P-01-041-00,1,1
56,56,56,P-01-043-00,1,1
57,57,57,P-01-045-00,1,1
58,58,58,P-01-047-00,1,1
59,59,59,P-01-049-00,1,1
60,60,60,P-01-051-00,1,1
61,61,61,P-01-053-00,1,1
62,62,62,P-01-055-00,1,1
63,63,63,P-01-057-00,1,1
64,64,64,P-01-059-00,1,1
65,65,65,P-01-061-00,1,1
66,66,66,P-01-063-00,1,1
67,67,67,P-01-065-00,1,1
68,68,68,P-01-067-00,1,1
69,69,69,P-01-069-00,1,1
70,70,70,P-01-071-00,1,1
71,71,71,P-02-002-00,1,1
72,72,72,P-02-004-00,1,1
73,73,73,P-02-006-00,1,1
74,74,74,P-02-008-00,1,1
75,75,75,P-02-010-00,1,1
76,76,76,P-02-012-00,1,1
77,77,77,P-02-014-00,1,1
78,78,78,P-02-016-00,1,1
79,79,79,P-02-018-00,1,1
80,80,80,P-02-020-00,1,1
81,81,81,P-02-022-00,1,1
82,82,82,P-02-024-00,1,1
